"RECCO","HNO_FR","REFER1","HA22_G","POWER","POOR_LOCAL","HR_DEL","X_HR","Z_MAD","P80","GATE_REASON","N_G_IN_ROUND","N_ROUND"
"4704","3",7,"1",-5.6,0,0,0.1,-1.01483013352442,11,"",5,29
"2513","3",13,"1",-1.3,0,0,-0.8,-1.23759772381027,11,"",5,29
"1370","1",14,"1",4.9,0,0,6.5,0.0391009135928461,9.75,"",5,29
"2253","6",7,"1",12.1,0,0,6.6,0.0128474430376494,11.3,"",5,29
"5218","5",1,"1",-14,0,0,5.25,-0.143508672229063,8.18,"",5,29
"3626","3",13,"1",-8.6,0,0,-0.8,-1.23759772381027,11,"",5,29
"974","5",28,"1",-1.6,0,0,1.4,-1.24852544839285,8.18,"",5,29
"832","5",28,"1",-6.1,0,0,1.4,-1.24852544839285,8.18,"",5,29
"3041","7",1,"1",2.6,1,1,15.2,2.15318203986759,10.55,"P80",5,29
"4153","3",13,"1",-9.4,0,0,-0.8,-1.23759772381027,11,"",5,29
"5856","1",7,"1",-10.4,0,0,-0.15,-1.26100446336929,9.75,"",5,29
"269","3",21,"1",-2.4,0,0,1.55,-0.655926793619441,11,"",5,29
"1909","2",5,"1",-4.7,0,0,2.7,-0.0432365871459356,3.88,"",5,29
"1592","3",13,"1",-3.7,0,0,-0.8,-1.23759772381027,11,"",5,29
"462","5",28,"1",-3.5,0,0,1.4,-1.24852544839285,8.18,"",5,29
"5172","1",3,"1",9.6,0,0,9.35,0.596288932290903,9.75,"",5,29
"6561","5",19,"1",4.7,0,0,5.75,0,8.18,"",5,29
"4719","6",1,"1",-4.3,0,0,2.5,-1.0406428860496,11.3,"",5,29
"2895","6",16,"1",1.2,0,0,6.5,-0.0128474430376494,11.3,"",5,29
"1318","3",22,"1",-2.8,0,0,2.75,-0.358903339904977,11,"",5,29
"5207","3",13,"1",-0.8,0,0,-0.8,-1.23759772381027,11,"",5,29
"1847","7",12,"1",5.2,1,1,13.3,1.66028494640393,10.55,"P80",5,29
"4701","1",9,"1",-4.9,0,0,6.3,0,9.75,"",5,29
"4714","7",5,"1",-1.9,0,0,4.6,-0.596664902613911,10.55,"",5,29
"1980","3",22,"1",-3.6,0,0,2.75,-0.358903339904977,11,"",5,29
"3108","5",1,"1",2.2,0,0,5.25,-0.143508672229063,8.18,"",5,29
"2512","5",19,"1",10.6,0,0,5.75,0,8.18,"",5,29
"3086","2",5,"1",2.7,0,0,2.7,-0.0432365871459356,3.88,"",5,29
"6072","6",1,"1",1,0,0,2.5,-1.0406428860496,11.3,"",5,29
"2949","3",7,"1",-1.3,0,0,0.1,-1.01483013352442,11,"",5,29
"4978","7",12,"1",13,1,1,13.3,1.66028494640393,10.55,"P80",5,29
"5930","1",8,"1",-7.3,0,0,1.2,-0.997073296617575,9.75,"",5,29
"2570","6",10,"1",1.1,0,0,4.55,-0.513897721505977,11.3,"",5,29
"2120","3",11,"1",1.4,0,0,2.4,-0.445535180571696,11,"",5,29
"3246","3",7,"1",-4.7,0,0,0.1,-1.01483013352442,11,"",5,29
"1065","7",19,"1",-3.4,0,0,5.95,-0.246448546731833,10.55,"",5,29
"3362","1",1,"1",-9.8,0,0,5,-0.2541559383535,9.75,"",5,29
"4495","3",13,"1",-9.2,0,0,-0.8,-1.23759772381027,11,"",5,29
"1523","3",16,"1",-2.5,0,0,4.95,0.18563965857154,11,"",5,29
"6461","1",7,"1",-5.9,0,0,-0.15,-1.26100446336929,9.75,"",5,29
"2509","3",13,"1",-3.3,0,0,-0.8,-1.23759772381027,11,"",5,29
"574","7",19,"1",-0.4,0,0,5.95,-0.246448546731833,10.55,"",5,29
"3831","2",5,"1",8.4,0,0,2.7,-0.0432365871459356,3.88,"",5,29
"1708","2",6,"1",-5.8,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"5615","6",1,"1",6.8,0,0,2.5,-1.0406428860496,11.3,"",5,29
"3374","7",12,"1",16,1,1,13.3,1.66028494640393,10.55,"P80",5,29
"403","7",14,"1",-4.1,0,0,-5.7,-3.26868598823273,10.55,"",5,29
"5850","6",1,"1",-3.2,0,0,2.5,-1.0406428860496,11.3,"",5,29
"575","3",23,"1",-4.9,0,0,1.5,-0.668302770857544,11,"",5,29
"3488","3",15,"1",10.1,1,1,11.75,1.8687725629535,11,"P80",5,29
"6544","2",8,"1",6.7,0,0,2.95,0.0432365871459356,3.88,"",5,29
"5851","1",1,"1",-2.7,0,0,5,-0.2541559383535,9.75,"",5,29
"4334","2",6,"1",-0.6,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"945","6",15,"1",-4.1,0,0,6.4,-0.0385423291129482,11.3,"",4,29
"6444","4",1,"1",-6.9,0,0,-6.1,-1.31447268939857,11.35,"",5,29
"4550","1",13,"1",2.3,0,0,2.1,-0.821119185449768,9.75,"",5,29
"5609","3",9,"1",-6.9,0,0,1.8,-0.594046907428928,11,"",5,29
"2837","3",18,"1",-1.5,0,0,5.6,0.346527362666875,11,"",5,29
"2677","1",11,"1",-0.5,0,0,0.15,-1.20235309298002,9.75,"",5,29
"1830","5",19,"1",-3.3,0,0,5.75,0,8.18,"",5,29
"4706","5",7,"1",-0.8,1,1,9.25,1.00456070560344,8.18,"P80",5,29
"1862","3",22,"1",-3.7,0,0,2.75,-0.358903339904977,11,"",5,29
"2122","1",8,"1",-0.7,0,0,1.2,-0.997073296617575,9.75,"",5,29
"440","5",27,"1",-0.9,0,0,5.75,0,8.18,"",5,29
"4063","2",3,"1",17.7,1,1,12.1,3.20815476622842,3.88,"Z|P80",5,29
"3258","5",15,"1",-3.5,0,0,2.4,-0.961508103934721,8.18,"",5,29
"1567","2",6,"1",4.2,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"3341","6",15,"1",7.2,0,0,6.4,-0.0385423291129482,11.3,"",4,29
"995","5",19,"1",-1.3,0,0,5.75,0,8.18,"",5,29
"1628","3",14,"1",-2.5,0,0,1.6,-0.643550816381338,11,"",5,29
"3438","5",3,"1",-1.1,0,0,3.7,-0.588385556139158,8.18,"",5,29
"5805","3",9,"1",-4.9,0,0,1.8,-0.594046907428928,11,"",5,29
"2514","3",14,"1",6.1,0,0,1.6,-0.643550816381338,11,"",5,29
"2652","3",8,"1",-7,0,0,1.55,-0.655926793619441,11,"",5,29
"2572","5",15,"1",-4.1,0,0,2.4,-0.961508103934721,8.18,"",5,29
"3897","1",11,"1",-5.5,0,0,0.15,-1.20235309298002,9.75,"",5,29
